Link,Title,Location
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48111284&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,[반도체 IC칩] ASIC Design Engineer (신입),경기수원시 영통구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47753965&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,[네오플] 프로그래밍/기술지원 직군 분야별 모집,제주제주시
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47807276&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,[국비무료IT취업]자바/웹앱/프론트·백엔드/풀스택/빅데이터 외,서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48137623&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,(주)이오테크닉스 개발자 모집 (제어SW),경기안양시 동안구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47753976&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,[네오플] 게임그래픽 직군 분야별 모집,제주제주시
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48141538&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,"2024 상반기 신입 Proactive Leaders 채용 [R&D, Engineering]",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48094177&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f4afb21d-491c-4357-8640-0273fbb0e8c3,[HL Klemove] 2024 상반기 2차 수시채용 (R&D-코딩테스트 진행),경기성남시 수정구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48072082&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ce2273a6-cbe6-4c09-95dc-f5d9ae8962a3,[면접비 지급] 인공지능 기반 머신비전 연구개발,경기화성시
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48071050&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ce2273a6-cbe6-4c09-95dc-f5d9ae8962a3,[빗썸] DBA,서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48069414&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ce2273a6-cbe6-4c09-95dc-f5d9ae8962a3,[슈어소프트테크] 2024년 상반기 경력사원 모집,경기성남시 수정구
https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47798174&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ce2273a6-cbe6-4c09-95dc-f5d9ae8962a3,"[쿠팡] Principal, Business Analyst (Home Living & Leisure)",서울송파구
